Nombre,Cod. Hex.
Rojo,#FF0000
Almagre,#DC2339
Bermejo,#D22C21
Bermellón,#E62E00
Bermellón de China,#B21A27
Bermellón de Holanda,#E62E11
Carmesí,#E51A4C
Carmín,#D10047
Carmín de alizarina,#A11C55
Vino,#800040
Coral,#FF8080
Escarlata,#E30032
Escarlata Gobelinos,#BD002F
Frambuesa,#E61D52
Granate,#800000
Grana,#AB2A3E
Hematita roja,#D4442F
Hígado,#891E35
Rojo persa,#CB1D11
Tomate,#D5303E
Rojo naranja o bermellón,#FF4000
Rojo anaranjado,#E82300
Rojo naranja,#E73C00
Naranja rojizo,#E95400
Salmón,#FF9F80
Naranja,#FF8000
Ámbar,#E2893A
Amarillo indio,#FF7430
Calabaza,#EDAA7C
Naranja caqui,#F38D3C
Dorado,#E49E56
Llama,#F98F1D
Melón,#FFBF80
Melón​,#FFB888
Damasco,#FBCEB1
Albaricoque​,#FBCEB1
Damasco o albaricoque​,#FBCEB1
Melocotón​,#FFE5B4
Durazno,#FFE5B4
Durazno o melocotón​,#FFE5B4
Marrón​,#804000
Pardo,#996B42
Beis,#DFCF9F
Beige,#DFCF9F
Beis o beige,#DFCF9F
Arena,#ECE2C6
Ante,#BA7C45
Blanco navajo,#EBE1C9
Café,#591F0B
Marrón café,#694C41
Caoba,#A5665D
Caqui,#E0D8B0
Canela o canelo,#8D4925
Castaña o castaño,#773525
Chocolate,#7A2E11
Gamuza,#E6B57E
Herrumbre,#A2522B
León o leonado,#BC8648
Ocre,#B9935A
Ocre amarillo,#D1974D
Ocre rojo,#7D3F32
Ocre pardo,#5F3F3E
Ocre pardo oscuro,#4B382F
Ocre oro,#573F25
Ocre dorado,#C97E28
Ocre dorado tostado,#9A6619
Ocre carne,#874639
Rojo toscano,#79443B
Rojo Falun,#7C342B
Rojo veneciano,#6E433C
Rufo,#CB6D51
Secuoya,#8A5754
Sepia,#663B2A
Marrón sepia,#5C5343
Siena,#C58A3E
Siena tostada,#8E372E
Tierra de Treviso,#823A3F
Wengué,#3D2E2C
Almendra​,#C19A6B
Avellana​,#B48969
Barbecho​,#C19A6B
Beige o beis,#E8C39E
Bisonte​,#6C541E
Bistre marrón​,#967117
Bronce​,#CD7F32
Café​,#3F2212
Camello​,#C19A6B
Canela,#BD8A3E
Caoba​,#C04000
Caramelo​,#AE6938
Cobre​,#CB6E51
Cobrizo​,#B87333
Chocolate​,#592E0B
Habano​,#844E34
Kalua​,#B78E5B
Latón​,#AB9144
León,#BC8648
Marrón o café​​,#6F4E37
Marrón cuero​,#97572B
Marrón dorado​,#996515
Miel,#D29340
Nogal​,#5D432C
Pardo ocre​,#955F20
Pardo verdoso​,#826C34
Rojo indio​,#882D17
Amarillo,#FFFF00
Ámbar o Amarillo naranja,#FFBF00
Aureolina o amarillo de cobalto,#FFE661
Amarillo Hansa medio,#FFDF00
Amarillo Hansa oscuro,#FCC300
